date,visitor,visitorPoints,home,homePoints,difference,ot,attendence
2017-10-19 19:30,Chicago Bulls,100,Toronto Raptors,117,17,n,19800
2017-10-21 19:30,Philadelphia 76ers,94,Toronto Raptors,128,34,n,19800
2017-10-23 20:30,Toronto Raptors,97,San Antonio Spurs,101,-4,n,18418
2017-10-25 22:30,Toronto Raptors,112,Golden State Warriors,117,-5,n,19596
2017-10-27 22:30,Toronto Raptors,101,Los Angeles Lakers,92,9,n,17876
2017-10-30 22:00,Toronto Raptors,99,Portland Trail Blazers,85,14,n,18505
2017-11-01 21:00,Toronto Raptors,111,Denver Nuggets,129,-18,n,14072
2017-11-03 21:00,Toronto Raptors,109,Utah Jazz,100,9,n,16258
2017-11-05 18:00,Washington Wizards,107,Toronto Raptors,96,-11,n,19800
2017-11-07 19:30,Chicago Bulls,114,Toronto Raptors,119,5,n,19800
2017-11-09 19:30,New Orleans Pelicans,118,Toronto Raptors,122,4,n,19800
2017-11-12 15:30,Toronto Raptors,94,Boston Celtics,95,-1,n,18624
2017-11-14 20:00,Toronto Raptors,129,Houston Rockets,113,16,n,18055
2017-11-15 20:00,Toronto Raptors,125,New Orleans Pelicans,116,9,n,15654
2017-11-17 19:30,New York Knicks,84,Toronto Raptors,107,23,n,19800
2017-11-19 15:30,Washington Wizards,91,Toronto Raptors,100,9,n,19800
2017-11-22 19:30,Toronto Raptors,100,New York Knicks,108,-8,n,19812
2017-11-24 20:00,Toronto Raptors,104,Indiana Pacers,107,-3,n,16523
2017-11-25 19:30,Toronto Raptors,112,Atlanta Hawks,78,34,n,12278
2017-11-29 19:30,Charlotte Hornets,113,Toronto Raptors,126,13,n,19800
2017-12-01 19:30,Indiana Pacers,115,Toronto Raptors,120,5,n,19800
2017-12-05 19:30,Phoenix Suns,113,Toronto Raptors,126,13,n,19800
2017-12-08 20:00,Toronto Raptors,116,Memphis Grizzlies,107,9,n,15417
2017-12-10 15:30,Toronto Raptors,102,Sacramento Kings,87,15,n,17583
2017-12-11 22:30,Toronto Raptors,91,Los Angeles Clippers,96,-5,n,16658
2017-12-13 21:00,Toronto Raptors,115,Phoenix Suns,109,6,n,15517
2017-12-15 19:30,Brooklyn Nets,87,Toronto Raptors,120,33,n,19800
2017-12-17 15:30,Sacramento Kings,93,Toronto Raptors,108,15,n,19800
2017-12-20 19:00,Toronto Raptors,129,Charlotte Hornets,111,18,n,15023
2017-12-21 19:00,Toronto Raptors,114,Philadelphia 76ers,109,5,n,20680
2017-12-23 17:00,Philadelphia 76ers,86,Toronto Raptors,102,16,n,19800
2017-12-26 19:00,Toronto Raptors,93,Dallas Mavericks,98,-5,n,20005
2017-12-27 20:00,Toronto Raptors,107,Oklahoma City Thunder,124,-17,n,18203
2017-12-29 19:30,Atlanta Hawks,98,Toronto Raptors,111,13,n,19800
2018-01-01 19:30,Milwaukee Bucks,127,Toronto Raptors,131,4,y,19800
2018-01-03 20:00,Toronto Raptors,124,Chicago Bulls,115,9,n,20056
2018-01-05 20:00,Toronto Raptors,129,Milwaukee Bucks,110,19,n,18717
2018-01-08 19:30,Toronto Raptors,114,Brooklyn Nets,113,1,y,13681
2018-01-09 19:30,Miami Heat,90,Toronto Raptors,89,-1,n,19800
2018-01-11 20:00,Cleveland Cavaliers,99,Toronto Raptors,133,34,n,19923
2018-01-13 19:30,Golden State Warriors,127,Toronto Raptors,125,-2,n,20078
2018-01-15 13:00,Toronto Raptors,111,Philadelphia 76ers,117,-6,n,20637
2018-01-17 19:30,Detroit Pistons,91,Toronto Raptors,96,5,n,19800
2018-01-19 19:00,San Antonio Spurs,83,Toronto Raptors,86,3,n,19800
2018-01-20 21:00,Toronto Raptors,109,Minnesota Timberwolves,115,-6,n,17828
2018-01-24 19:30,Toronto Raptors,108,Atlanta Hawks,93,15,n,12780
2018-01-26 19:30,Utah Jazz,97,Toronto Raptors,93,-4,n,19800
2018-01-28 18:00,Los Angeles Lakers,111,Toronto Raptors,123,12,n,19800
2018-01-30 19:30,Minnesota Timberwolves,104,Toronto Raptors,109,5,n,19800
2018-02-01 19:00,Toronto Raptors,119,Washington Wizards,122,-3,n,15599
2018-02-02 19:30,Portland Trail Blazers,105,Toronto Raptors,130,25,n,19800
2018-02-04 12:00,Memphis Grizzlies,86,Toronto Raptors,101,15,n,19800
2018-02-06 19:30,Boston Celtics,91,Toronto Raptors,111,20,n,20017
2018-02-08 19:30,New York Knicks,88,Toronto Raptors,113,25,n,19800
2018-02-11 13:00,Toronto Raptors,123,Charlotte Hornets,103,20,n,18320
2018-02-13 19:00,Miami Heat,112,Toronto Raptors,115,3,n,19800
2018-02-14 20:00,Toronto Raptors,122,Chicago Bulls,98,24,n,21006
2018-02-23 19:30,Milwaukee Bucks,122,Toronto Raptors,119,-3,y,20047
2018-02-26 19:30,Detroit Pistons,94,Toronto Raptors,123,29,n,19800
2018-02-28 19:00,Toronto Raptors,117,Orlando Magic,104,13,n,17328
2018-03-02 20:00,Toronto Raptors,102,Washington Wizards,95,7,n,18631
2018-03-04 18:00,Charlotte Hornets,98,Toronto Raptors,103,5,n,19800
2018-03-06 19:00,Atlanta Hawks,90,Toronto Raptors,106,16,n,19800
2018-03-07 20:00,Toronto Raptors,121,Detroit Pistons,119,2,y,17769
2018-03-09 19:30,Houston Rockets,105,Toronto Raptors,108,3,n,20131
2018-03-11 13:00,Toronto Raptors,132,New York Knicks,106,26,n,19812
2018-03-13 19:30,Toronto Raptors,116,Brooklyn Nets,102,14,n,16654
2018-03-15 19:00,Toronto Raptors,106,Indiana Pacers,99,7,n,17923
2018-03-16 19:30,Dallas Mavericks,115,Toronto Raptors,122,7,y,19800
2018-03-18 13:00,Oklahoma City Thunder,132,Toronto Raptors,125,-7,n,19800
2018-03-20 19:00,Toronto Raptors,93,Orlando Magic,86,7,n,16228
2018-03-21 19:00,Toronto Raptors,129,Cleveland Cavaliers,132,-3,n,20562
2018-03-23 19:30,Brooklyn Nets,112,Toronto Raptors,116,4,n,19800
2018-03-25 18:00,Los Angeles Clippers,117,Toronto Raptors,106,-11,n,19800
2018-03-27 19:30,Denver Nuggets,110,Toronto Raptors,114,4,n,19800
2018-03-31 19:30,Toronto Raptors,99,Boston Celtics,110,-11,n,18624
2018-04-03 19:00,Toronto Raptors,106,Cleveland Cavaliers,112,-6,n,20562
2018-04-04 20:00,Boston Celtics,78,Toronto Raptors,96,18,n,19963
2018-04-06 19:30,Indiana Pacers,73,Toronto Raptors,92,19,n,19924
2018-04-08 18:00,Orlando Magic,101,Toronto Raptors,112,11,n,19948
2018-04-09 19:00,Toronto Raptors,108,Detroit Pistons,98,10,n,17529
2018-04-11 20:00,Toronto Raptors,109,Miami Heat,116,-7,y,19600
2018-04-14 17:30,Washington Wizards,106,Toronto Raptors,114,8,n,19937
2018-04-17 19:00,Washington Wizards,119,Toronto Raptors,130,11,n,20242
2018-04-20 20:00,Toronto Raptors,103,Washington Wizards,122,-19,n,20356
2018-04-22 18:00,Toronto Raptors,98,Washington Wizards,106,-8,n,20356
2018-04-25 19:00,Washington Wizards,98,Toronto Raptors,108,10,n,19987
2018-04-27 19:00,Toronto Raptors,102,Washington Wizards,92,10,n,20356
2018-05-01 20:00,Cleveland Cavaliers,113,Toronto Raptors,112,-1,y,19954
2018-05-03 18:00,Cleveland Cavaliers,128,Toronto Raptors,110,-18,n,20127
2018-05-05 20:30,Toronto Raptors,103,Cleveland Cavaliers,105,-2,n,20562
2018-05-07 20:30,Toronto Raptors,93,Cleveland Cavaliers,128,-35,n,20562
