gameNumber,date,homeGame,opponent,notableGame,whyNotable
1,2018-10-17T19:30:00,TRUE,Cleveland Cavaliers,TRUE,"The Raptors will tip off the 24th season in franchise history at home, taking on the Cleveland Cavaliers at 7:30 P.M. at Scotiabank Arena. Of course, last year’s Eastern Conference Semifinals matchup will look vastly different this time around. Kawhi Leonard and Danny Green now wear Raptors red and familiar foe LeBron James left Cleveland to join the Los Angeles Lakers during offseason free agency."
2,2018-10-19T20:00:00,TRUE,Boston Celtics,TRUE,"Just two days later, the Raptors will make their U.S national TV season debut, hosting the division rival Boston Celtics. While the Raptors finished with the top seed in the Eastern Conference last season, the Celtics were the second seed."
3,2018-10-20T19:00:00,FALSE,Washington Wizards,FALSE,
4,2018-10-22T19:30:00,TRUE,Charlotte Hornets,FALSE,
5,2018-10-24T19:30:00,TRUE,Minnesota Timberwolves,FALSE,
6,2018-10-26T19:30:00,TRUE,Dallas Mavericks,FALSE,
7,2018-10-29T20:00:00,FALSE,Milwaukee Bucks,FALSE,
8,2018-10-30T19:30:00,TRUE,Philadelphia 76ers,FALSE,
9,2018-11-02T22:00:00,FALSE,Phoenix Suns,FALSE,
10,2018-11-04T21:30:00,FALSE,Los Angeles Lakers,FALSE,
11,2018-11-05T21:00:00,FALSE,Utah Jazz,FALSE,
12,2018-11-07T22:00:00,FALSE,Sacramento Kings,FALSE,
13,2018-11-10T15:00:00,TRUE,New York Knicks,FALSE,
14,2018-11-12T19:30:00,TRUE,New Orleans Pelicans,FALSE,
15,2018-11-14T19:30:00,TRUE,Detroit Pistons,FALSE,
16,2018-11-16T19:00:00,FALSE,Boston Celtics,FALSE,
17,2018-11-17T20:00:00,FALSE,Chicago Bulls,FALSE,
18,2018-11-20T19:00:00,FALSE,Orlando Magic,FALSE,
19,2018-11-21T19:30:00,FALSE,Atlanta Hawks,FALSE,
20,2018-11-23T19:30:00,TRUE,Washington Wizards,FALSE,
21,2018-11-25T18:00:00,TRUE,Miami Heat,FALSE,
22,2018-11-27T20:00:00,FALSE,Memphis Grizzlies,FALSE,
23,2018-11-29T20:00:00,TRUE,Golden State Warriors,TRUE,The back-to-back NBA Champion Golden State Warriors are in Toronto to take on the Raptors at 8 P.M. This game will be televised nationally in the U.S. On TNT. 
24,2018-12-01T20:00:00,FALSE,Cleveland Cavaliers,FALSE,
25,2018-12-03T19:30:00,TRUE,Denver Nuggets,FALSE,
26,2018-12-05T20:00:00,TRUE,Philadelphia 76ers,TRUE,"The Raptors will take on Joel Embiid and the Philadelphia 76ers in the fifth annual Giant of Africa game. Celebrating the life of Nelson Mandela as well as his belief that sport has the power to change the world, this game is played on the anniversary of Mandela’s death."
27,2018-12-07T19:30:00,FALSE,Brooklyn Nets,FALSE,
28,2018-12-09T18:00:00,TRUE,Milwaukee Bucks,FALSE,
29,2018-12-11T22:30:00,FALSE,Los Angeles Clippers,FALSE,
30,2018-12-12T22:30:00,FALSE,Golden State Warriors,FALSE,
31,2018-12-14T22:00:00,FALSE,Portland Trail Blazers,FALSE,
32,2018-12-16T20:00:00,FALSE,Denver Nuggets,FALSE,
33,2018-12-19T19:30:00,TRUE,Indiana Pacers,FALSE,
34,2018-12-21T19:00:00,TRUE,Cleveland Cavaliers,FALSE,
35,2018-12-22T19:30:00,FALSE,Philadelphia 76ers,FALSE,
36,2018-12-26T19:30:00,FALSE,Miami Heat,FALSE,
37,2018-12-28T19:00:00,FALSE,Orlando Magic,FALSE,
38,2018-12-30T18:00:00,TRUE,Chicago Bulls,FALSE,
39,2019-01-01T19:30:00,TRUE,Utah Jazz,TRUE,"Though the team will be on the road over the Christmas holiday, the Raptors will tip-off the new year at home, taking on the Utah Jazz."
40,2019-01-03T20:00:00,FALSE,San Antonio Spurs,FALSE,
41,2019-01-05T20:30:00,FALSE,Milwaukee Bucks,FALSE,
42,2019-01-06T19:30:00,TRUE,Indiana Pacers,FALSE,
43,2019-01-08T19:30:00,TRUE,Atlanta Hawks,FALSE,
44,2019-01-11T19:30:00,TRUE,Brooklyn Nets,FALSE,
45,2019-01-13T13:00:00,FALSE,Washington Wizards,FALSE,
46,2019-01-16T20:00:00,FALSE,Boston Celtics,FALSE,
47,2019-01-17T19:30:00,TRUE,Phoenix Suns,FALSE,
48,2019-01-19T19:30:00,TRUE,Memphis Grizzlies,FALSE,
49,2019-01-22T19:00:00,TRUE,Sacramento Kings,FALSE,
50,2019-01-23T19:00:00,FALSE,Indiana Pacers,FALSE,
51,2019-01-25T20:00:00,FALSE,Houston Rockets,FALSE,
52,2019-01-27T19:00:00,FALSE,Dallas Mavericks,FALSE,
53,2019-01-31T20:00:00,TRUE,Milwaukee Bucks,FALSE,
54,2019-02-03T15:00:00,TRUE,Los Angeles Clippers,FALSE,
55,2019-02-05T20:00:00,FALSE,Philadelphia 76ers,FALSE,
56,2019-02-07T19:30:00,FALSE,Atlanta Hawks,FALSE,
57,2019-02-09T19:30:00,FALSE,New York Knicks,FALSE,
58,2019-02-11T19:30:00,TRUE,Brooklyn Nets,FALSE,
59,2019-02-13T19:30:00,TRUE,Washington Wizards,FALSE,
60,2019-02-22T19:00:00,TRUE,San Antonio Spurs,TRUE,The San Antonio Spurs will have their lone visit to Toronto. This will be San Antonio’s first visit to Scotiabank Arena since the blockbuster trade between the two teams that took place over the offseason.
61,2019-02-24T15:30:00,TRUE,Orlando Magic,FALSE,
62,2019-02-26T20:00:00,TRUE,Boston Celtics,FALSE,
63,2019-03-01T19:30:00,TRUE,Portland Trail Blazers,FALSE,
64,2019-03-03T18:00:00,FALSE,Detroit Pistons,FALSE,
65,2019-03-05T20:00:00,TRUE,Houston Rockets,TRUE,The Raptors will take on 2017-18 NBA MVP James Harden and the Houston Rockets. Last season’s home meeting against the Rockets turned out to be one of the most exciting games of the season as the Raptors snapped a 17-game Rockets winning streak in a thrilling 108-105 victory.
66,2019-03-08T20:00:00,FALSE,New Orleans Pelicans,FALSE,
67,2019-03-10T15:30:00,FALSE,Miami Heat,FALSE,
68,2019-03-11T19:00:00,FALSE,Cleveland Cavaliers,FALSE,
69,2019-03-14T20:00:00,TRUE,Los Angeles Lakers,TRUE,"The Los Angeles Lakers will make its lone trip to Toronto. After 15 seasons in the Eastern Conference, this will be the first time that LeBron James has played in the opposite conference than the Raptors and this will also be his lone regular-season visit to Scotiabank Arena this year as well."
70,2019-03-17T16:00:00,FALSE,Detroit Pistons,FALSE,
71,2019-03-18T19:30:00,TRUE,New York Knicks,FALSE,
72,2019-03-20T21:30:00,FALSE,Oklahoma City Thunder,TRUE,"The Raptors will have an interesting pair of games in late March. First, they will head to Oklahoma City to take on Russell Westbrook, Paul George and the Thunder on Wednesday. After the game, the Raptors will return to Toronto to prepare for Friday’s game, also against the Thunder. "
73,2019-03-22T19:30:00,TRUE,Oklahoma City Thunder,TRUE,"The Raptors will have an interesting pair of games in late March. First, they will head to Oklahoma City to take on Russell Westbrook, Paul George and the Thunder on Wednesday. After the game, the Raptors will return to Toronto to prepare for Friday’s game, also against the Thunder. "
74,2019-03-24T18:00:00,TRUE,Charlotte Hornets,FALSE,
75,2019-03-26T19:30:00,TRUE,Chicago Bulls,FALSE,
76,2019-03-28T19:30:00,FALSE,New York Knicks,FALSE,
77,2019-03-30T20:00:00,FALSE,Chicago Bulls,FALSE,
78,2019-04-01T19:30:00,TRUE,Orlando Magic,FALSE,
79,2019-04-03T19:30:00,FALSE,Brooklyn Nets,FALSE,
80,2019-04-05T19:00:00,FALSE,Charlotte Hornets,FALSE,
81,2019-04-07T12:00:00,TRUE,Miami Heat,TRUE,"The Raptors will close out the regular season two days after this, on the road in Minnesota, but their final regular-season home game at Scotiabank Arena will be a Sunday afternoon matinee against the Miami Heat at noon."
82,2019-04-09T20:00:00,FALSE,Minnesota Timberwolves,FALSE,
