city,date,wins
Atlanta,20180410,24
Atlanta,20180408,24
Atlanta,20180406,23
Atlanta,20180404,22
Atlanta,20180403,22
Atlanta,20180401,22
Atlanta,20180330,21
Atlanta,20180328,21
Atlanta,20180325,21
Atlanta,20180323,21
Atlanta,20180322,21
Atlanta,20180320,21
Atlanta,20180317,20
Atlanta,20180315,20
Atlanta,20180313,20
Atlanta,20180311,20
Atlanta,20180309,20
Atlanta,20180306,20
Atlanta,20180304,20
Atlanta,20180302,19
Atlanta,20180228,19
Atlanta,20180226,18
Atlanta,20180223,18
Atlanta,20180214,18
Atlanta,20180213,18
Atlanta,20180211,18
Atlanta,20180209,17
Atlanta,20180208,17
Atlanta,20180206,17
Atlanta,20180204,16
Atlanta,20180202,15
Atlanta,20180131,15
Atlanta,20180129,15
Atlanta,20180127,14
Atlanta,20180126,14
Atlanta,20180124,14
Atlanta,20180122,14
Atlanta,20180120,13
Atlanta,20180117,13
Atlanta,20180115,12
Atlanta,20180112,11
Atlanta,20180110,11
Atlanta,20180108,10
Atlanta,20180107,10
Atlanta,20180105,10
Atlanta,20180102,10
Atlanta,20171230,10
Atlanta,20171229,9
Atlanta,20171227,9
Atlanta,20171223,8
Atlanta,20171222,7
Atlanta,20171220,7
Atlanta,20171218,7
Atlanta,20171215,6
Atlanta,20171214,6
Atlanta,20171212,6
Atlanta,20171210,6
Atlanta,20171209,6
Atlanta,20171206,5
Atlanta,20171204,5
Atlanta,20171202,5
Atlanta,20171130,4
Atlanta,20171125,4
Atlanta,20171124,4
Atlanta,20171122,3
Atlanta,20171120,3
Atlanta,20171118,3
Atlanta,20171115,3
Atlanta,20171113,2
Atlanta,20171111,2
Atlanta,20171110,2
Atlanta,20171106,2
Atlanta,20171105,2
Atlanta,20171103,1
Atlanta,20171101,1
Atlanta,20171029,1
Atlanta,20171027,1
Atlanta,20171026,1
Atlanta,20171023,1
Atlanta,20171022,1
Atlanta,20171020,1
Atlanta,20171018,1
Boston,20180411,55
Boston,20180410,54
Boston,20180408,54
Boston,20180406,54
Boston,20180404,53
Boston,20180403,53
Boston,20180331,53
Boston,20180328,52
Boston,20180326,51
Boston,20180325,50
Boston,20180323,49
Boston,20180320,48
Boston,20180318,47
Boston,20180316,47
Boston,20180314,46
Boston,20180311,46
Boston,20180308,46
Boston,20180305,45
Boston,20180303,44
Boston,20180228,44
Boston,20180226,43
Boston,20180224,42
Boston,20180223,41
Boston,20180214,40
Boston,20180211,40
Boston,20180209,40
Boston,20180208,40
Boston,20180206,39
Boston,20180204,39
Boston,20180202,38
Boston,20180131,37
Boston,20180129,36
Boston,20180127,35
Boston,20180124,35
Boston,20180123,34
Boston,20180121,34
Boston,20180118,34
Boston,20180116,34
Boston,20180111,34
Boston,20180106,33
Boston,20180105,32
Boston,20180103,31
Boston,20171231,30
Boston,20171228,29
Boston,20171227,28
Boston,20171225,27
Boston,20171223,27
Boston,20171221,26
Boston,20171220,26
Boston,20171218,26
Boston,20171216,25
Boston,20171215,24
Boston,20171213,24
Boston,20171211,23
Boston,20171210,23
Boston,20171208,22
Boston,20171206,22
Boston,20171204,21
Boston,20171202,20
Boston,20171130,19
Boston,20171127,18
Boston,20171125,18
Boston,20171124,17
Boston,20171122,16
Boston,20171120,16
Boston,20171118,15
Boston,20171116,14
Boston,20171114,13
Boston,20171112,12
Boston,20171110,11
Boston,20171108,10
Boston,20171106,9
Boston,20171105,8
Boston,20171103,7
Boston,20171101,6
Boston,20171030,5
Boston,20171028,4
Boston,20171026,3
Boston,20171024,2
Boston,20171020,1
Boston,20171018,0
Boston,20171017,0
Brooklyn Nets,20180411,28
Brooklyn Nets,20180409,28
Brooklyn Nets,20180407,27
Brooklyn Nets,20180405,26
Brooklyn Nets,20180403,25
Brooklyn Nets,20180401,25
Brooklyn Nets,20180331,25
Brooklyn Nets,20180328,24
Brooklyn Nets,20180325,23
Brooklyn Nets,20180323,23
Brooklyn Nets,20180321,23
Brooklyn Nets,20180319,23
Brooklyn Nets,20180317,22
Brooklyn Nets,20180316,21
Brooklyn Nets,20180313,21
Brooklyn Nets,20180311,21
Brooklyn Nets,20180308,21
